side,position,gamelength,gamelength,result,result,kills,deaths,assists,KDA,teamkills,teamdeaths,team assist,damageshare,golddiffat10,golddiffat15,totalgold,totalgolddiff,teamgolddiff
Blue,mid,1713,28.55,1,win,8,1,6,14.00,16,1,33,0.347535,645,1046,14141,4851,15750
Blue,bot,1713,28.55,1,win,1,0,6,7.00,16,1,33,0.185529,167,58,12108,1714,15750
Blue,sup,1713,28.55,1,win,0,0,10,10.00,16,1,33,0.0519809,51,125,7228,1914,15750
Red,top,1713,28.55,0,loss,0,5,0,0.00,1,16,1,0.250324,-77,-508,7622,-2833,-15750
Red,jng,1713,28.55,0,loss,0,3,1,0.33,1,16,1,0.0886035,-990,-1424,7206,-4438,-15750
Red,mid,1713,28.55,0,loss,1,6,0,0.17,1,16,1,0.246196,-645,-1046,9290,-4851,-15750
Red,bot,1713,28.55,0,loss,0,0,0,0.00,1,16,1,0.401009,-167,-58,10394,-1714,-15750
Red,sup,1713,28.55,0,loss,0,2,0,0.00,1,16,1,0.0138679,-51,-125,5314,-1914,-15750
Blue,top,2193,36.55,0,loss,0,6,2,0.33,9,19,20,0.156798,294,-338,9934,-2754,-11152
Blue,jng,2193,36.55,0,loss,3,4,2,1.25,9,19,20,0.0976628,-133,-91,10824,-981,-11152
Blue,mid,2193,36.55,0,loss,2,2,3,2.50,9,19,20,0.286474,-181,-762,12066,-3209,-11152
Blue,bot,2193,36.55,0,loss,4,2,5,4.50,9,19,20,0.387863,-190,-694,15394,-2316,-11152
Blue,sup,2193,36.55,0,loss,0,5,8,1.60,9,19,20,0.0712026,-410,-657,7343,-1892,-11152
Red,top,2193,36.55,1,win,2,1,12,14.00,19,9,46,0.227734,-294,338,12688,2754,11152
Red,jng,2193,36.55,1,win,1,2,8,4.50,19,9,46,0.0691818,133,91,11805,981,11152
Red,mid,2193,36.55,1,win,5,2,8,6.50,19,9,46,0.374526,181,762,15275,3209,11152
Red,bot,2193,36.55,1,win,10,0,6,16.00,19,9,46,0.254987,190,694,17710,2316,11152
Red,sup,2193,36.55,1,win,1,4,12,3.25,19,9,46,0.0735716,410,657,9235,1892,11152
Blue,top,1656,27.60,1,win,2,1,10,12.00,25,5,54,0.141808,308,671,10806,1832,17460
Blue,jng,1656,27.60,1,win,8,2,9,8.50,25,5,54,0.266712,416,1487,11722,4944,17460
Blue,mid,1656,27.60,1,win,9,0,8,17.00,25,5,54,0.257757,212,818,14007,3656,17460
Blue,bot,1656,27.60,1,win,3,2,10,6.50,25,5,54,0.231523,563,1713,12573,4438,17460
Blue,sup,1656,27.60,1,win,3,0,17,20.00,25,5,54,0.102201,45,753,8389,2590,17460
Red,top,1656,27.60,0,loss,1,3,2,1.00,4,25,10,0.153076,-308,-671,8974,-1832,-17460
Red,jng,1656,27.60,0,loss,0,6,2,0.33,4,25,10,0.0853694,-416,-1487,6778,-4944,-17460
Red,mid,1656,27.60,0,loss,2,4,1,0.75,4,25,10,0.360146,-212,-818,10351,-3656,-17460
Red,bot,1656,27.60,0,loss,0,5,4,0.80,4,25,10,0.307379,-563,-1713,8135,-4438,-17460
Red,sup,1656,27.60,0,loss,1,7,1,0.29,4,25,10,0.094029,-45,-753,5799,-2590,-17460
Blue,top,1661,27.68,1,win,3,3,16,6.33,25,8,74,0.203383,-172,-1216,10582,244,14068
Blue,jng,1661,27.68,1,win,9,1,11,20.00,25,8,74,0.235935,569,1615,13146,5234,14068
Blue,mid,1661,27.68,1,win,10,1,12,22.00,25,8,74,0.315903,795,2542,14251,5757,14068
Blue,bot,1661,27.68,1,win,3,2,15,9.00,25,8,74,0.187984,-269,-448,10404,1302,14068
Blue,sup,1661,27.68,1,win,0,1,20,20.00,25,8,74,0.0567946,-3,330,7006,1531,14068
Red,top,1661,27.68,0,loss,4,3,2,2.00,8,25,17,0.164982,172,1216,10338,-244,-14068
Red,jng,1661,27.68,0,loss,1,6,5,1.00,8,25,17,0.24415,-569,-1615,7912,-5234,-14068
Red,mid,1661,27.68,0,loss,2,7,3,0.71,8,25,17,0.204794,-795,-2542,8494,-5757,-14068
Red,bot,1661,27.68,0,loss,1,4,4,1.25,8,25,17,0.296595,269,448,9102,-1302,-14068
Red,sup,1661,27.68,0,loss,0,5,3,0.60,8,25,17,0.0894792,3,-330,5475,-1531,-14068
Blue,top,2082,34.70,1,win,6,3,6,4.00,24,12,49,0.240395,-625,-1153,14322,2278,10286
Blue,jng,2082,34.70,1,win,5,2,12,8.50,24,12,49,0.197699,65,182,13091,2868,10286
Blue,mid,2082,34.70,1,win,3,4,12,3.75,24,12,49,0.294881,-466,-722,14146,1298,10286
Blue,bot,2082,34.70,1,win,8,2,9,8.50,24,12,49,0.220181,-218,437,15054,2028,10286
Blue,sup,2082,34.70,1,win,2,1,10,12.00,24,12,49,0.0468437,2,181,9193,1814,10286
Red,top,2082,34.70,0,loss,3,4,4,1.75,12,24,24,0.177981,625,1153,12044,-2278,-10286
Red,jng,2082,34.70,0,loss,1,6,6,1.17,12,24,24,0.16164,-65,-182,10223,-2868,-10286
Red,mid,2082,34.70,0,loss,5,7,4,1.29,12,24,24,0.276363,466,722,12848,-1298,-10286
Red,bot,2082,34.70,0,loss,2,4,3,1.25,12,24,24,0.307369,218,-437,13026,-2028,-10286
Red,sup,2082,34.70,0,loss,1,3,7,2.67,12,24,24,0.0766469,-2,-181,7379,-1814,-10286
Blue,top,2011,33.52,0,loss,1,4,1,0.50,5,13,10,0.170355,130,-512,11319,-2647,-3870
Blue,jng,2011,33.52,0,loss,2,3,3,1.67,5,13,10,0.120068,-162,-310,10287,-2751,-3870
Blue,mid,2011,33.52,0,loss,1,2,2,1.50,5,13,10,0.402743,1459,2409,15148,674,-3870
Blue,bot,2011,33.52,0,loss,1,2,0,0.50,5,13,10,0.239122,-185,965,12377,1297,-3870
Blue,sup,2011,33.52,0,loss,0,2,4,2.00,5,13,10,0.067712,148,42,7273,-443,-3870
Red,top,2011,33.52,1,win,2,3,7,3.00,13,5,39,0.281162,-130,512,13966,2647,3870
Red,jng,2011,33.52,1,win,5,1,5,10.00,13,5,39,0.239348,162,310,13038,2751,3870
Red,mid,2011,33.52,1,win,5,0,6,11.00,13,5,39,0.244024,-1459,-2409,14474,-674,3870
Red,bot,2011,33.52,1,win,1,1,10,11.00,13,5,39,0.15222,185,-965,11080,-1297,3870
Red,sup,2011,33.52,1,win,0,0,11,11.00,13,5,39,0.0832466,-148,-42,7716,443,3870
Blue,top,2005,33.42,1,win,6,2,5,5.50,20,8,50,0.205749,21,282,15238,4839,14936
Blue,jng,2005,33.42,1,win,7,1,8,15.00,20,8,50,0.155342,542,1704,14343,4961,14936
Blue,mid,2005,33.42,1,win,3,4,14,4.25,20,8,50,0.354316,586,1235,14105,3117,14936
Blue,bot,2005,33.42,1,win,1,0,10,11.00,20,8,50,0.190932,-68,1134,14462,-415,14936
Blue,sup,2005,33.42,1,win,3,1,13,16.00,20,8,50,0.0936608,88,80,9079,2434,14936
Red,top,2005,33.42,0,loss,0,4,4,1.00,8,20,21,0.199771,-21,-282,10399,-4839,-14936
Red,jng,2005,33.42,0,loss,2,5,4,1.20,8,20,21,0.194297,-542,-1704,9382,-4961,-14936
Red,mid,2005,33.42,0,loss,2,3,4,2.00,8,20,21,0.180975,-586,-1235,10988,-3117,-14936
Red,bot,2005,33.42,0,loss,4,4,3,1.75,8,20,21,0.336887,68,-1134,14877,415,-14936
Red,sup,2005,33.42,0,loss,0,4,6,1.50,8,20,21,0.0880691,-88,-80,6645,-2434,-14936
Blue,top,1818,30.30,0,loss,3,2,2,2.50,8,20,19,0.172957,78,-219,10529,-787,-10093
Blue,jng,1818,30.30,0,loss,3,5,3,1.20,8,20,19,0.254272,458,175,10724,-1520,-10093
Blue,mid,1818,30.30,0,loss,0,4,4,1.00,8,20,19,0.27588,-15,-208,9245,-4855,-10093
Blue,bot,1818,30.30,0,loss,2,4,4,1.50,8,20,19,0.228209,880,501,11500,-1370,-10093
Blue,sup,1818,30.30,0,loss,0,5,6,1.20,8,20,19,0.068682,155,79,6191,-1561,-10093
Red,top,1818,30.30,1,win,3,3,13,5.33,20,8,64,0.188918,-78,219,11316,787,10093
Red,jng,1818,30.30,1,win,4,1,13,17.00,20,8,64,0.179101,-458,-175,12244,1520,10093
Red,mid,1818,30.30,1,win,8,1,10,18.00,20,8,64,0.381565,15,208,14100,4855,10093
Red,bot,1818,30.30,1,win,4,2,12,8.00,20,8,64,0.179649,-880,-501,12870,1370,10093
Red,sup,1818,30.30,1,win,1,1,16,17.00,20,8,64,0.0707665,-155,-79,7752,1561,10093
Blue,top,2289,38.15,0,loss,2,3,7,3.00,13,25,34,0.118249,-732,-1553,10998,-3435,-11468
Blue,jng,2289,38.15,0,loss,1,7,7,1.14,13,25,34,0.181564,-224,-339,11516,-3753,-11468
Blue,mid,2289,38.15,0,loss,0,5,7,1.40,13,25,34,0.215492,-259,115,14622,-1467,-11468
Blue,bot,2289,38.15,0,loss,8,5,5,2.60,13,25,34,0.417318,147,365,15136,-2115,-11468
Blue,sup,2289,38.15,0,loss,2,5,8,2.00,13,25,34,0.0673774,116,202,8208,-698,-11468
Red,top,2289,38.15,1,win,6,1,15,21.00,25,13,66,0.230829,732,1553,14433,3435,11468
Red,jng,2289,38.15,1,win,4,1,12,16.00,25,13,66,0.172351,224,339,15269,3753,11468
Red,mid,2289,38.15,1,win,6,1,16,22.00,25,13,66,0.261781,259,-115,16089,1467,11468
Red,bot,2289,38.15,1,win,7,4,11,4.50,25,13,66,0.257183,-147,-365,17251,2115,11468
Red,sup,2289,38.15,1,win,2,6,12,2.33,25,13,66,0.0778568,-116,-202,8906,698,11468
Blue,top,2178,36.30,1,win,5,1,3,8.00,13,6,33,0.345698,122,-928,16471,3011,4255
Blue,jng,2178,36.30,1,win,3,1,3,6.00,13,6,33,0.106225,-225,-764,12811,1574,4255
Blue,mid,2178,36.30,1,win,3,2,9,6.00,13,6,33,0.315392,62,-1006,14968,-313,4255
Blue,bot,2178,36.30,1,win,0,2,9,4.50,13,6,33,0.162568,-177,-720,12814,-1788,4255
Blue,sup,2178,36.30,1,win,2,0,9,11.00,13,6,33,0.0701175,448,269,9090,1771,4255
Red,top,2178,36.30,0,loss,2,3,0,0.67,6,13,14,0.232061,-122,928,13460,-3011,-4255
Red,jng,2178,36.30,0,loss,0,4,4,1.00,6,13,14,0.263318,225,764,11237,-1574,-4255
Red,mid,2178,36.30,0,loss,3,2,3,3.00,6,13,14,0.232684,-62,1006,15281,313,-4255
Red,bot,2178,36.30,0,loss,1,3,3,1.33,6,13,14,0.205087,177,720,14602,1788,-4255
Red,sup,2178,36.30,0,loss,0,1,4,4.00,6,13,14,0.0668497,-448,-269,7319,-1771,-4255
Blue,top,1780,29.67,1,win,4,0,15,19.00,27,9,83,0.140542,-926,-901,10183,-1934,10022
Blue,jng,1780,29.67,1,win,3,4,20,5.75,27,9,83,0.229351,209,545,10595,2153,10022
Blue,mid,1780,29.67,1,win,4,0,15,19.00,27,9,83,0.193084,28,22,10981,1618,10022
Blue,bot,1780,29.67,1,win,15,3,10,8.33,27,9,83,0.364871,613,1319,15001,6049,10022
Blue,sup,1780,29.67,1,win,1,2,23,12.00,27,9,83,0.0721512,79,217,8014,2136,10022
Red,top,1780,29.67,0,loss,6,4,2,2.00,9,27,20,0.3408,926,901,12117,1934,-10022
Red,jng,1780,29.67,0,loss,1,6,5,1.00,9,27,20,0.174275,-209,-545,8442,-2153,-10022
Red,mid,1780,29.67,0,loss,1,3,7,2.67,9,27,20,0.195312,-28,-22,9363,-1618,-10022
Red,bot,1780,29.67,0,loss,0,6,3,0.50,9,27,20,0.199605,-613,-1319,8952,-6049,-10022
Red,sup,1780,29.67,0,loss,1,8,3,0.50,9,27,20,0.0900078,-79,-217,5878,-2136,-10022
Blue,top,2265,37.75,1,win,2,2,8,5.00,14,7,35,0.188696,-182,-912,13222,-2720,3379
Blue,jng,2265,37.75,1,win,3,2,7,5.00,14,7,35,0.166503,-288,-507,12588,1403,3379
Blue,mid,2265,37.75,1,win,4,1,7,11.00,14,7,35,0.266315,209,-26,17381,3685,3379
Blue,bot,2265,37.75,1,win,3,1,6,9.00,14,7,35,0.329534,137,-215,13657,776,3379
